Name,Smiles
Kappadione,P(Oc1c2c(cccc2)c(OP(=O)([O-])[O-])cc1C)(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]
Osimertinib,O(C)c1cc(N(CCN(C)C)C)c(NC(=O)C=C)cc1Nc1nc(ccn1)-c1c2c(n(c1)C)cccc2
Tegafur-uracil,FC1=CN(C2OCCC2)C(=O)NC1=O.O=C1NC(=O)NC=C1
Ammonia N-13,N
Sodium fluoride,[Na+].[F-]
Sulbactam,S1(=O)(=O)[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)C2
Benzathine benzylpenicillin,S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.S1[C@H]2N([C@@H](C(=O)[O-])C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.[NH2+](Cc1ccccc1)CC[NH2+]Cc1ccccc1
Zinc sulfate,[Zn+2].S(=O)(=O)([O-])[O-]
Procaine benzylpenicillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)Cc1ccccc1.O(C(=O)c1ccc(N)cc1)CCN(CC)CC
Thallous Chloride,[Tl+].[Cl-]
Technetium Tc-99m sodium pertechnetate,[Tc-3]([OH2+])([OH2+])([OH2+])[O-].[Na+]
Ioxaglic acid,Ic1c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(O)=O)c2I)c(I)c(N(C(=O)C)C)c(I)c1C(=O)NC
Setiptiline,N1(CC2=C(CC1)c1c(Cc3c2cccc3)cccc1)C
Scopolamine butylbromide,[Br-].O1[C@H]2[C@H]3[N+]([C@@H]([C@@H]12)CC(OC(=O)[C@H](CO)c1ccccc1)C3)(CCCC)C
Tenofovir alafenamide,P(Oc1ccccc1)(=O)(N[C@H](C(OC(C)C)=O)C)CO[C@@H](Cn1c2ncnc(N)c2nc1)C
Paritaprevir,S(=O)(=O)(NC(=O)[C@]12NC(=O)[C@H]3N(C[C@H](Oc4nc5c(c6c4cccc6)cccc5)C3)C(=O)[C@@H](NC(=O)c3ncc(nc3)C)CCCCC\C=C/[C@H]1C2)C1CC1
Ombitasvir,O(C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)Nc1ccc(cc1)[C@H]1N([C@@H](CC1)c1ccc(NC(=O)[C@H]2N(CCC2)C(=O)[C@@H](NC(OC)=O)C(C)C)cc1)c1ccc(cc1)C(C)(C)C)C
Talniflumate,FC(F)(F)c1cc(Nc2ncccc2C(OC2OC(=O)c3c2cccc3)=O)ccc1
Sodium lactate,[Na+].OC(C(=O)[O-])C
Sodium Iodide I-131,I[Na]
Sacubitril,O(CC)C(=O)[C@@H](C[C@H](NC(=O)CCC(O)=O)Cc1ccc(cc1)-c1ccccc1)C
Rolapitant,FC(F)(F)c1cc(cc(c1)[C@H](OC[C@@]1(NC[C@]2(NC(=O)CC2)CC1)c1ccccc1)C)C(F)(F)F
Ramosetron,O=C([C@@H]1CCc2[nH]cnc2C1)c1c2c(n(c1)C)cccc2
Tianeptine,Clc1cc2S(=O)(=O)N(c3c(cccc3)C(NCCCCCCC(O)=O)c2cc1)C
Propacetamol,O(C(=O)CN(CC)CC)c1ccc(NC(=O)C)cc1
Pipamperone,Fc1ccc(cc1)C(=O)CCCN1CCC(N2CCCCC2)(CC1)C(=O)N
Morniflumate,FC(F)(F)c1cc(Nc2ncccc2C(OCCN2CCOCC2)=O)ccc1
Imolamine,O1N=C(N(CCN(CC)CC)C1=N)c1ccccc1
Trapidil,n12ncnc1N=C(C=C2N(CC)CC)C
Molsidomine,o1n[n+](N2CCOCC2)cc1[N-]C(OCC)=O
Magnesium Trisilicate,[Si](O[Si](=O)[O-])(O[Si](=O)[O-])([O-])[O-].[Mg+2].[Mg+2]
Fimasartan,S=C(N(C)C)CC=1C(=O)N(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)C(=NC=1C)CCCC
Choline C 11,[Cl-].OCC[N+](C)(C)C
Sodium aurothiomalate,[Au]SC(CC(O)=O)C(=O)[O-].[Na+]
Artesunate,O1[C@H]2O[C@H](OC(=O)CCC(O)=O)[C@@H]([C@H]3[C@@]24OOC1(CC[C@H]4[C@@H](CC3)C)C)C
Doxofylline,O1CCOC1Cn1c2c(nc1)N(C)C(=O)N(C)C2=O
Eluxadoline,O(C)c1ccc(cc1C(O)=O)CN([C@@H](C)c1[nH]cc(n1)-c1ccccc1)C(=O)[C@@H](N)Cc1c(cc(cc1C)C(=O)N)C
Phenylacetic acid,OC(=O)Cc1ccccc1
Sodium picosulfate,S(Oc1ccc(cc1)C(c1ccc(OS(=O)(=O)[O-])cc1)c1ncccc1)(=O)(=O)[O-].[Na+].[Na+]
Strontium ranelate,[Sr+2].[Sr+2].s1c(C(=O)[O-])c(CC(=O)[O-])c(C#N)c1N(CC(=O)[O-])CC(=O)[O-]
Lixisenatide,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N)Cc1nc[nH]c1)CCC(O)=O)[C@H](O)C)Cc1ccccc1)[C@H](O)C)CO)CC(O)=O)CC(C)C)CO)CCCCN)CCC(=O)N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H]([C@H](CC)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N)CO)C)CO)CO)C)C
Imidafenacin,O=C(N)C(CCn1ccnc1C)(c1ccccc1)c1ccccc1
Gimeracil,ClC1=CNC(=O)C=C1O
Tegafur,FC1=CN(C2OCCC2)C(=O)NC1=O
Toloxatone,O1C(CN(c2cc(ccc2)C)C1=O)CO
Pirlindole,n12c3C(NCC1)CCCc3c1cc(ccc12)C
Hydracarbazine,O=C(N)c1nnc(NN)cc1
Moxonidine,Clc1nc(nc(OC)c1NC=1NCCN=1)C
Levamlodipine,Clc1ccccc1[C@@H]1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN
Lacidipine,O(C(=O)C=1C(C(C(OCC)=O)=C(NC=1C)C)c1ccccc1\C=C\C(OC(C)(C)C)=O)CC
Efonidipine,P1(OCC(CO1)(C)C)(=O)C=1C(C(C(OCCN(Cc2ccccc2)c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1
Cilnidipine,O(C(=O)C=1C(C(C(OC\C=C\c2ccccc2)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCOC
Benidipine,O(C(=O)C=1[C@@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@@H]1CCCN(C1)Cc1ccccc1
Azelnidipine,O(C(=O)C=1C(C(C(OC(C)C)=O)=C(NC=1N)C)c1cc([N+](=O)[O-])ccc1)C1CN(C1)C(c1ccccc1)c1ccccc1
Aranidipine,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])CC(=O)C
Barnidipine,O(C(=O)C=1[C@H](C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)[C@H]1CCN(C1)Cc1ccccc1
Zotepine,Clc1cc2c(Sc3c(C=C2OCCN(C)C)cccc3)cc1
Melperone,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C
Blonanserin,Fc1ccc(cc1)-c1cc(nc2c1CCCCCC2)N1CCN(CC1)CC
Polaprezinc,[Zn+2].O=C([N-][C@H](Cc1[nH]cnc1)C(=O)[O-])CCN
Nicorandil,O([N+](=O)[O-])CCNC(=O)c1cccnc1
Bisoxatin,O1c2c(NC(=O)C1(c1ccc(O)cc1)c1ccc(O)cc1)cccc2
Clonixin,Clc1cccc(Nc2ncccc2C(O)=O)c1C
Tolfenamic Acid,Clc1cccc(Nc2ccccc2C(O)=O)c1C
Droxicam,S1(=O)(=O)N(C2=C(OC(=O)N(C2=O)c2ncccc2)c2c1cccc2)C
Dexketoprofen,OC(=O)[C@@H](C)c1cc(ccc1)C(=O)c1ccccc1
Dexibuprofen,OC(=O)[C@@H](C)c1ccc(cc1)CC(C)C
Loxoprofen,O=C1CCCC1Cc1ccc(cc1)C(C(O)=O)C
Limaprost,O=C1C[C@@H](O)[C@H](\C=C\[C@@H](O)C[C@H](CCCC)C)[C@H]1CCCC\C=C\C(O)=O
Piracetam,O=C1N(CCC1)CC(O)=N
Pholcodine,O1CCN(CC1)CCOc1c2O[C@@H]3[C@]45[C@H]([C@H](N(CC4)C)Cc(c25)cc1)C=C[C@@H]3O
Moxisylyte,O(C(=O)C)c1cc(C(C)C)c(OCCN(C)C)cc1C
Arotinolol,s1c(ccc1C(=O)N)-c1nc(sc1)SCC(O)CNC(C)(C)C
Lobeglitazone,S1C(Cc2ccc(OCCN(C)c3ncnc(Oc4ccc(OC)cc4)c3)cc2)C(=O)NC1=O
Mepiprazole,Clc1cc(N2CCN(CC2)CCc2n[nH]c(c2)C)ccc1
Lorpiprazole,FC(F)(F)c1cc(N2CCN(CC2)CCc2n3C[C@H]4[C@H](CCC4)c3nn2)ccc1
Etoperidone,Clc1cc(N2CCN(CC2)CCCN2N=C(N(CC)C2=O)CC)ccc1
Viloxazine,O1CCNCC1COc1ccccc1OCC
Dasabuvir,S(=O)(=O)(Nc1cc2c(cc(cc2)-c2cc(N3C=CC(=O)NC3=O)cc(C(C)(C)C)c2OC)cc1)C
Dosulepin,S1Cc2c(cccc2)\C(\c2c1cccc2)=C\CCN(C)C
Etizolam,Clc1ccccc1C1=NCc2n(-c3sc(cc13)CC)c(nn2)C
Technetium Tc-99m sestamibi,[TcH+6].O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C.O(C(CN=[CH-])(C)C)C
Technetium Tc-99m tetrofosmin,[Tc].P(CCOCC)(CCOCC)CCP(CCOCC)CCOCC
Trisodium citrate dihydrate,[Na+].[Na+].[Na+].O.O.OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
Trypan blue,S(=O)(=O)([O-])c1cc2c(c(O)c1\N=N\c1ccc(cc1C)-c1cc(C)c(\N=N\c3c(O)c4c(cc3S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc4N)cc1)c(N)cc(S(=O)(=O)[O-])c2.[Na+].[Na+].[Na+].[Na+]
Carbon dioxide,O=C=O
Iopromide,Ic1c(C(=O)N(CC(O)CO)C)c(I)c(N=C(O)COC)c(I)c1C(O)=NCC(O)CO
Sodium Citrate,[Na+].[Na+].[Na+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
Sodium Chloride,[Cl-].[Na+]
Flutemetamol (18F),s1c2cc(O)ccc2nc1-c1cc(F)c(NC)cc1
Fludeoxyglucose (18F),F[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@@H]1O)CO
Florbetapir (18F),FCCOCCOCCOc1ncc(cc1)\C=C\c1ccc(NC)cc1
Florbetaben (18F),FCCOCCOCCOc1ccc(cc1)\C=C\c1ccc(NC)cc1
Ferric pyrophosphate,[Fe+3].[Fe+3].[Fe+3].[Fe+3].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-].P(OP(=O)([O-])[O-])(=O)([O-])[O-]
Sucroferric Oxyhydroxide,[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].O.O.O.O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO.[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-]
Uridine triacetate,O1[C@H](COC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1N1C=CC(=O)NC1=O
Sonidegib,P(O)(O)(O)=O.P(O)(O)(O)=O.FC(F)(F)Oc1ccc(cc1)-c1cccc(C(O)=Nc2ccc(nc2)N2C[C@H](O[C@H](C2)C)C)c1C
Sincalide,S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)Cc1ccc(OS(O)(=O)=O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)C
Technetium Tc-99m Medronate,[Tc].P(O)(O)(=O)CP(O)(O)=O
Technetium Tc 99m Mebrofenin,[Tc].Brc1c(C)c(NC(=O)CN(CC(O)=O)CC(O)=O)c(cc1C)C
Isosulfan blue,S(=O)(=O)([O-])c1ccc(S(=O)(=O)[O-])cc1C(c1ccc(N(CC)CC)cc1)=C1C=CC(=[N+](CC)CC)C=C1.[Na+]
Ioxilan,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)C)CC(O)CO)c(I)c1C(=O)NCCO
Ioversol,Ic1c(C(=O)NCC(O)CO)c(I)c(N(C(=O)CO)CCO)c(I)c1C(=O)NCC(O)CO
Iothalamic acid,Ic1c(C(=O)NC)c(I)c(NC(=O)C)c(I)c1C(O)=O
Gadoteric acid,[Gd+3].OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
Cupric Chloride,[Cu](Cl)Cl
Chromic chloride,[Cr+3].[Cl-].[Cl-].[Cl-]
Brexpiprazole,s1c2c(cc1)c(N1CCN(CC1)CCCCOc1cc3NC(=O)C=Cc3cc1)ccc2
Disodium phosphate,P(O)(=O)([O-])[O-].[Na+].[Na+]
Potassium Citrate,[K+].[K+].[K+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]
Medrogestone,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](C(=O)C)(C)[C@]4(CC3)C)C=C(C2=C1)C)C
Dienogest,O=C1CCC=2C(=C1)CC[C@H]1[C@@H]3CC[C@@](O)(CC#N)[C@]3(CCC1=2)C
Zucapsaicin,O(C)c1cc(ccc1O)CNC(=O)CCCC\C=C/C(C)C
Eslicarbazepine acetate,O(C(=O)C)[C@H]1Cc2c(N(c3c1cccc3)C(=O)N)cccc2
Stiripentol,O1c2cc(ccc2OC1)\C=C\C(O)C(C)(C)C
Paraldehyde,O1C(OC(OC1C)C)C
Calcium carbimide,[Ca+2].OC(CC(=O)[O-])(CC(O)=O)C(=O)[O-].N(C#N)C
Diiodohydroxyquinoline,Ic1cc(I)c2c(nccc2)c1O
Colfosceril palmitate,P(OCC[N+](C)(C)C)(OC[C@H](OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)(=O)[O-]
Sodium Nitrite,[Na+].O=N[O-]
Mesna,S(=O)(=O)([O-])CCS.[Na+]
Magnesium hydroxide,[Mg+2].[OH-].[OH-]
Daclatasvir,Cl.Cl.O(C(O)=N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1[nH]c(cn1)-c1ccc(cc1)-c1ccc(cc1)-c1[nH]c(nc1)[C@H]1N(CCC1)C(=O)[C@@H](N=C(OC)O)C(C)C)C
Elvitegravir,Clc1cccc(Cc2cc3c(N(C=C(C(O)=O)C3=O)[C@@H](C(C)C)CO)cc2OC)c1F
Somatostatin,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(N)C)C1)CCCCN)CC(=O)N)Cc1ccccc1)Cc1ccccc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(O)C)Cc1ccccc1)C(O)C)CO)C(O)=O
Quinagolide,S(=O)(=O)(N[C@H]1C[C@H]2[C@H](N(C1)CCC)Cc1c(C2)c(O)ccc1)N(CC)CC
Benzoyl peroxide,O(OC(=O)c1ccccc1)C(=O)c1ccccc1
Difluocortolone,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@H](C(=O)CO)[C@]3(C[C@@H]1O)C)C[C@H](F)C1=CC(=O)C=C[C@@]12C
Podophyllin,O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1CC2C(C(c3c(cc4OCOc4c3)C2O)c2cc(OC)c(OC)c(OC)c2)C1=O.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1.O1c2c(OC1)cc1c(c2)C(C(C(O)=O)C(CO)C1O)c1cc(OC)c(OC)c(OC)c1
Chlortetracycline,Clc1c2c(C(=O)C=3[C@H](C[C@@H]4[C@@](O)(C(=O)C(C(O)=N)=C(O)[C@H]4N(C)C)C=3O)[C@@]2(O)C)c(O)cc1
Xanthinol,O=C1N(C)C(=O)N(c2ncn(c12)CC(O)CN(CCO)C)C
Tixocortol,SCC(=O)[C@@]1(O)CC[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C[C@]12C
Pinaverium,Brc1cc(OC)c(OC)cc1C[N+]1(CCOCC1)CCOCCC1C2CC(CC1)C2(C)C
Trimebutine,O(C)c1c(OC)cc(cc1OC)C(OCC(N(C)C)(CC)c1ccccc1)=O
Potassium alum,[K+].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-].[Al+3]
Eugenol,O(C)c1cc(ccc1O)CC=C
Tetracaine,O(C(=O)c1ccc(NCCCC)cc1)CCN(C)C
Benzydamine,O(CCCN(C)C)c1nn(c2c1cccc2)Cc1ccccc1
Ivabradine,O(C)c1cc2c(cc1OC)C[C@@H]2CN(CCCN1CCc2cc(OC)c(OC)cc2CC1=O)C
Vilanterol,Clc1cccc(Cl)c1COCCOCCCCCCNC[C@H](O)c1cc(CO)c(O)cc1
Idebenone,O(C)C=1C(=O)C(CCCCCCCCCCO)=C(C)C(=O)C=1OC
Olodaterol,Cl.O1CC(O)=Nc2c1c(cc(O)c2)[C@@H](O)CNC(Cc1ccc(OC)cc1)(C)C
Nintedanib,OC/1=Nc2cc(ccc2\C\1=C(\Nc1ccc(N(C(=O)CN2CCN(CC2)C)C)cc1)/c1ccccc1)C(OC)=O
Lenvatinib,Clc1cc(Oc2c3cc(C(O)=N)c(OC)cc3ncc2)ccc1NC(O)=NC1CC1
Umeclidinium,[Br-].O(Cc1ccccc1)CC[N+]12CCC(CC1)(CC2)C(O)(c1ccccc1)c1ccccc1
Edoxaban,Clc1ccc(nc1)NC(=O)C(=O)N[C@H]1CC[C@@H](C[C@H]1NC(=O)c1sc2c(n1)CCN(C2)C)C(=O)N(C)C
Olaparib,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)C1CC1)Cc1nnc(O)c2c1cccc2
Palbociclib,O=C1N(c2nc(ncc2C(C)=C1C(=O)C)Nc1ncc(N2CCNCC2)cc1)C1CCCC1
Tasimelteon,O1CCc2c1cccc2[C@@H]1C[C@H]1CN=C(O)CC
Trimetazidine,O(C)c1c(OC)c(OC)ccc1CN1CCNCC1
Vortioxetine,S(c1ccc(cc1C)C)c1ccccc1N1CC[NH2+]CC1
Corticorelin,OC[C@H]1C[C@@H](n2c3nc(nc(NC4CC4)c3nc2)N)C=C1
Cobicistat,s1cncc1COC(=O)N[C@@H](Cc1ccccc1)CC[C@@H](NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)CCN1CCOCC1)Cc1ccccc1
Ceritinib,Clc1cnc(nc1Nc1ccccc1S(=O)(=O)C(C)C)Nc1cc(C)c(cc1OC(C)C)C1CCNCC1
Avibactam,S(ON1[C@@H]2CC[C@H](N(C2)C1=O)C(=O)N)(=O)(=O)[O-].[Na+]
Idelalisib,Fc1c2c(N=C(N(C2=O)c2ccccc2)[C@@H](Nc2ncnc3[nH]cnc23)CC)ccc1
Ibrutinib,O(c1ccc(cc1)-c1nn(c2ncnc(N)c12)[C@@H]1CCCN(C1)C(=O)C=C)c1ccccc1
Ceftolozane,s1nc(nc1N)/C(=N/OC(C(O)=O)(C)C)/C(=O)N[C@H]1[C@H]2SCC(C[n+]3n(C)c(N)c(NC(=O)NCCN)c3)=C(N2C1=O)C(=O)[O-]
Naloxegol,O1[C@@H]2[C@]34CCN([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC)CC=C
Netupitant,FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(C(=O)N(C)c1cnc(N2CCN(CC2)C)cc1-c1ccccc1C)(C)C
Finafloxacin,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(C#N)c1N1C[C@@H]2NCCO[C@H]2C1
Tedizolid Phosphate,P(OC[C@@H]1OC(=O)N(C1)c1cc(F)c(cc1)-c1ccc(nc1)-c1nn(nn1)C)(O)(O)=O
Tavaborole,Fc1cc2c(cc1)B(OC2)O
Efinaconazole,Fc1cc(F)ccc1[C@](O)([C@H](N1CCC(CC1)=C)C)Cn1ncnc1
Eliglustat,O1CCOc2c1cc(cc2)[C@@H](O)[C@H](N=C(O)CCCCCCC)CN1CCCC1
Empagliflozin,Clc1ccc(cc1Cc1ccc(O[C@H]2CCOC2)cc1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Suvorexant,Clc1cc2nc(oc2cc1)N1CC[C@H](N(CC1)C(=O)c1cc(ccc1-n1nccn1)C)C
Miltefosine,P(OCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)(=O)[O-]
Vorapaxar,Fc1cc(ccc1)-c1ccc(nc1)\C=C\[C@@H]1[C@H]2[C@@H](C[C@H]3[C@H]1CC[C@@H](N=C(OCC)O)C3)C(O[C@@H]2C)=O
Cytisine,O=C1N2C([C@@H]3C[C@H](C2)CNC3)=CC=C1
Ledipasvir,FC1(F)c2cc(ccc2-c2c1cc(cc2)-c1[nH]c(nc1)[C@H]1N(CC2(C1)CC2)C(=O)[C@@H](N=C(OC)O)C(C)C)-c1cc2[nH]c(nc2cc1)[C@H]1N([C@@H]2CC[C@H]1C2)C(=O)[C@@H](N=C(OC)O)C(C)C
Aliskiren,O(CCCOC)c1cc(ccc1OC)C[C@H](C(C)C)C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C(=O)N)(C)C
Benzoctamine,N(CC12CCC(c3c1cccc3)c1c2cccc1)C
Bisacodyl,O(C(=O)C)c1ccc(cc1)C(c1ccc(OC(=O)C)cc1)c1ncccc1
Bromhexine,Brc1cc(Br)cc(CN(C)C2CCCCC2)c1N
Bromopride,Brc1cc(C(O)=NCCN(CC)CC)c(OC)cc1N
Brotizolam,Brc1sc2-n3c(nnc3C)CN=C(c2c1)c1ccccc1Cl
Butriptyline,N(CC(CC1c2c(CCc3c1cccc3)cccc2)C)(C)C
Potassium Canrenoate,[K+].O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@@](O)(CCC(=O)[O-])[C@]4(CC3)C)C=CC2=C1)C
Captodiame,S(CCCC)c1ccc(cc1)C(SCCN(C)C)c1ccccc1
Carbazochrome,OC1C2=C\C(=N\NC(=O)N)\C(=O)C=C2N(C1)C
Articaine,s1cc(C)c(N=C(O)C(NCCC)C)c1C(OC)=O
Cephaloridine,s1cccc1CC(O)=N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(=O)[O-]
Clinofibrate,O(C(CC)(C(O)=O)C)c1cc(ccc1)C1(CCCCC1)c1ccc(OC(CC)(C(O)=O)C)cc1
Clocapramine,Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN1CCC(N2CCCCC2)(CC1)C(O)=N
Cloperastine,Clc1ccc(cc1)C(OCCN1CCCCC1)c1ccccc1
