input,output
"{'key': 'OBKQMZCTGOCMFK-UHFFFAOYSA-N', 'input': 'N#Cc1ccc2cc1Oc1ccc3c(c1)C(CCO3)N1CCC(NCc3cncn3C2)C1=O', 'text': 'N#Cc1ccc2cc1Oc1ccc3c(c1)C(CCO3)N1CCC(NCc3cncn3C2)C1=O'}",{'outcome': 0.96089106798172}
"{'key': 'ZLAONGKKHFSBFL-UHFFFAOYSA-N', 'input': 'CCc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3', 'text': 'CCc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3'}",{'outcome': 0.94554454088211}
"{'key': 'KVHVIXZNQRDNNU-UHFFFAOYSA-N', 'input': 'O=c1[nH]c2ccccc2n1CCCCN1CCC(n2c(=O)[nH]c3ccc(Cl)cc32)CC1', 'text': 'O=c1[nH]c2ccccc2n1CCCCN1CCC(n2c(=O)[nH]c3ccc(Cl)cc32)CC1'}",{'outcome': 0.9793729186058041}
"{'key': 'CZSUCMAQMLGPBX-UHFFFAOYSA-N', 'input': 'CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C(=O)N(C)C2CCN(CCCc3ccc(Cl)cc3)C2)C1', 'text': 'CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C(=O)N(C)C2CCN(CCCc3ccc(Cl)cc3)C2)C1'}",{'outcome': 0.9801980257034301}
"{'key': 'KHLCOSGYTJPDNE-UHFFFAOYSA-N', 'input': 'CCN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1', 'text': 'CCN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1'}",{'outcome': 1.0}
"{'key': 'SEAREBDZGMUOLJ-UHFFFAOYSA-N', 'input': 'CC[N+](CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1', 'text': 'CC[N+](CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1'}",{'outcome': 0.9570956826210021}
"{'key': 'ZUQHPBCHCUTNSK-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cc(Cl)ncn3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cc(Cl)ncn3)CC2)C1'}",{'outcome': 0.9554455280303951}
"{'key': 'GNRZWIIEHAXFFH-UHFFFAOYSA-N', 'input': 'CCCC[N+](Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O', 'text': 'CCCC[N+](Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O'}",{'outcome': 0.9900990128517151}
"{'key': 'KOCNCYHZFRVCOW-UHFFFAOYSA-N', 'input': 'N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCOCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1', 'text': 'N#Cc1ccc(Cn2cncc2C[N+](CC[N+]2CCOCC2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1'}",{'outcome': 0.9735973477363581}
"{'key': 'PZUJQWHTIRWCID-UHFFFAOYSA-N', 'input': 'CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc1cccc(Cl)c1C#N', 'text': 'CC(C)(Cc1ccc2ccccc2c1)NCC(O)COc1cccc(Cl)c1C#N'}",{'outcome': 0.9422442317008971}
"{'key': 'KFHYZKCRXNRKRC-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1', 'text': 'CC1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1'}",{'outcome': 0.982673287391662}
"{'key': 'LEKUJLQQZVXLAU-UHFFFAOYSA-N', 'input': 'CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2c1=CCC(C(F)(F)F)C=2', 'text': 'CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2c1=CCC(C(F)(F)F)C=2'}",{'outcome': 0.8910890817642211}
"{'key': 'FOHHNHSLJDZUGQ-UHFFFAOYSA-N', 'input': 'CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12', 'text': 'CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12'}",{'outcome': 0.995049476623535}
"{'key': 'MKWVUUFAZUWDSJ-UHFFFAOYSA-N', 'input': 'Fc1ccc(-n2cc(C3CCNCC3)c3ccc(Cl)cc32)cc1', 'text': 'Fc1ccc(-n2cc(C3CCNCC3)c3ccc(Cl)cc32)cc1'}",{'outcome': 0.9554455280303951}
"{'key': 'JAQYIKMJEHZODL-UHFFFAOYSA-N', 'input': 'CN(CCN(C)[S+2](O)(O)c1ccc(N[S+2](C)(O)O)cc1)c1nc2ccccc2n1C', 'text': 'CN(CCN(C)[S+2](O)(O)c1ccc(N[S+2](C)(O)O)cc1)c1nc2ccccc2n1C'}",{'outcome': 0.533003270626068}
"{'key': 'ZLIAFORUHVKWQY-UHFFFAOYSA-N', 'input': 'COc1cccc(C2CCN(C3CCC(C(=O)NCc4cc(C(F)(F)F)cc(C(F)(F)F)c4)(C(C)C)C3)CC2)c1', 'text': 'COc1cccc(C2CCN(C3CCC(C(=O)NCc4cc(C(F)(F)F)cc(C(F)(F)F)c4)(C(C)C)C3)CC2)c1'}",{'outcome': 0.98514848947525}
"{'key': 'NCJKKRRMGQPBBA-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccnc3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccnc3)CC2)C1'}",{'outcome': 0.995049476623535}
"{'key': 'JGGRYQAHJOLGSU-UHFFFAOYSA-N', 'input': 'C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1', 'text': 'C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1'}",{'outcome': 0.5891088843345641}
"{'key': 'PZBTVBSLNQDOCG-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccn4)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccn4)n2C)CC3)no1'}",{'outcome': 1.0}
"{'key': 'AZIHSCHAYYVWIY-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccn4C)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccn4C)n2C)CC3)no1'}",{'outcome': 0.9900990128517151}
"{'key': 'KEOZDNQHXGUGES-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(F)c(F)c4)n2C)CC3)n(C)n1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(F)c(F)c4)n2C)CC3)n(C)n1'}",{'outcome': 0.98514848947525}
"{'key': 'NAFIXABLSKOHPB-UHFFFAOYSA-N', 'input': 'Cc1ccn2c3c(nc2c1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3', 'text': 'Cc1ccn2c3c(nc2c1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3'}",{'outcome': 0.94554454088211}
"{'key': 'UIZPEXQHMIZQPQ-UHFFFAOYSA-N', 'input': 'COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC', 'text': 'COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC'}",{'outcome': 0.9900990128517151}
"{'key': 'IUUXSMYSJYIRRG-UHFFFAOYSA-N', 'input': 'c1ccc(C[N+]2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1', 'text': 'c1ccc(C[N+]2CCCC(c3c(-c4ccccc4)[nH]c4ccccc34)C2)cc1'}",{'outcome': 0.995049476623535}
"{'key': 'RXSMNWVUQNFEGE-UHFFFAOYSA-N', 'input': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCC(=O)O3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 1.0}
"{'key': 'VSUKSHADZRDBII-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5nc(C)c(C)nc5c4)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5nc(C)c(C)nc5c4)n2C)CC3)no1'}",{'outcome': 0.9920791983604431}
"{'key': 'LOUPRKONTZGTKE-UHFFFAOYSA-N', 'input': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'text': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12'}",{'outcome': 0.9603960514068601}
"{'key': 'MVXMOYOFQUJRHY-UHFFFAOYSA-N', 'input': 'O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1', 'text': 'O=C1C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN1C1(c2ccccc2)CCC(N2CCC3(CCOC3)CC2)CC1'}",{'outcome': 1.0}
"{'key': 'DRGSZTLTIYQWJD-UHFFFAOYSA-N', 'input': 'CN(C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1)C1NC=CC(=O)N1', 'text': 'CN(C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1)C1NC=CC(=O)N1'}",{'outcome': 0.9752475023269651}
"{'key': 'MSXJZHUTIDWQBZ-UHFFFAOYSA-N', 'input': 'COc1cc2c(cc1OC)C(CC(O)c1ccc(Cl)cc1)N(C)CC2', 'text': 'COc1cc2c(cc1OC)C(CC(O)c1ccc(Cl)cc1)N(C)CC2'}",{'outcome': 0.894801974296569}
"{'key': 'JZEQFVDLSUHIOP-UHFFFAOYSA-N', 'input': 'CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O', 'text': 'CC1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCN(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)C1=O'}",{'outcome': 0.995049476623535}
"{'key': 'BQBSHJUQVIWEFM-UHFFFAOYSA-N', 'input': 'CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1', 'text': 'CN(CCc1ccc(Cl)c(Cl)c1)CC(O)COc1ccc(NS(C)(=O)=O)cc1'}",{'outcome': 0.995049476623535}
"{'key': 'GUGOEEXESWIERI-UHFFFAOYSA-N', 'input': 'CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1', 'text': 'CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1'}",{'outcome': 0.9306930899620051}
"{'key': 'SXKNFGNGCSTXQU-UHFFFAOYSA-N', 'input': 'CCn1nc(Cc2ccc(-c3ccccc3)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C3CCCCC3)CC2c2cccc(F)c2)CC1', 'text': 'CCn1nc(Cc2ccc(-c3ccccc3)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C3CCCCC3)CC2c2cccc(F)c2)CC1'}",{'outcome': 0.896039605140686}
